id,region_id,delegacion,nivel,sede,created_at,updated_at
312,9,D-IV-29,"JUBILADOS Y PENSIONADOS","TIERRA BLANCA",NULL,NULL
313,9,D-IV-34,"JUBILADOS Y PENSIONADOS",TLACOTALPAN,NULL,NULL
314,11,D-I-13,PRIMARIA,COATZACOALCOS,NULL,NULL
315,11,D-II-11,SECUNDARIA,COATZACOALCOS,NULL,NULL
316,11,D-II-39,TELESECUNDARIA,ACAYUCAN,NULL,NULL
317,11,D-IV-20,"JUBILADOS Y PENSIONADOS",ACAYUCAN,NULL,NULL
318,6,D-I-50,PRIMARIAS,"SOLEDAD DE DOBLADO",NULL,NULL
332,6,D-I-73,PRIMARIA,"PASO DE OVEJAS",NULL,NULL
333,5,C.T.04,TELEBACHILLERATO,JACARANDAS,NULL,NULL
334,7,C.T.12,TELEBACHILLERATO,HUATUSCO,NULL,NULL
335,7,C.T.16,TELEBACHILLERATO,CóRDOBA,NULL,NULL
336,6,D-I-95,PRIMARIA,"MANLIO FABIO ALTAMIRANO",NULL,NULL
338,13,SIN,DATA,"SIN DATOS",NULL,NULL
